"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","SO2","PM10","PM25","NO2"
"09/24/2015","60","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","6","58","4","35","60","46"
"09/25/2015","101","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","8","101","6","32","42","38"
"09/26/2015","51","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","51","6","14","22","18"
"09/27/2015","50","Ozone","Auburn-Atwood","06-061-0003","AQS","3","50","6","25","34","22"
"09/28/2015","67","Ozone","Auburn-Atwood","06-061-0003","AQS","3","67","6","26","39","22"
"09/29/2015","48","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","48","6","21","40","12"
"09/30/2015","46","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","6","42","0","24","46","38"
"10/01/2015","49","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","6","32","1","20","49","30"
"10/02/2015","44","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","6","44","1","29","40","36"
"10/03/2015","80","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","6","80","3","31","43","23"
"10/04/2015","54","PM2.5","Folsom-Natoma St.","06-067-0012","AQS","3","51","3","33","54","18"
"10/05/2015","67","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","5","67","1","25","48","25"
"10/06/2015","90","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","5","90","0","27","55","22"
"10/07/2015","97","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","5","97",".","30","55","36"
"10/08/2015","101","Ozone","Sloughhouse","06-067-5003","AQS","8","101","0","38","59","50"
"10/09/2015","87","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","10","87","1","45","52","41"
"10/10/2015","101","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","101","1","16","40","22"
"10/11/2015","77","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","7","77","1","19","38","29"
"10/12/2015","64","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","7","64","1","36","56","42"
"10/13/2015","74","Ozone","Sloughhouse","06-067-5003","AQS","8","74","1","44","55","52"
"10/14/2015","97","Ozone","Lincoln-1st Street","06-061-2002","AQS","6","97","1","32","45","43"
"10/15/2015","90","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","5","90","1","37","31","37"
"10/16/2015","84","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","5","84","3","22","38","40"
"10/17/2015","33","Ozone","Sacramento-1309 T Street","06-067-0010","AQS","5","33","1","12","24","10"
"10/18/2015","39","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","5","39","1","9","23","17"
"10/19/2015","39","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","6","39",".","19","34","27"
"10/20/2015","38","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","5","38","1","27","23","33"
"10/21/2015","64","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","7","64","1","27","28","33"
"10/22/2015","56","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","8","51","1","45","56","44"
"10/23/2015","71","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","8","64","3","48","71","50"
"10/24/2015","64","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","9","49","3","36","64","43"
"10/25/2015","61","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","9","61","1","17","35","25"
"10/26/2015","53","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","8","51","3","30","53","45"
"10/27/2015","67","PM2.5","Folsom-Natoma St.","06-067-0012","AQS","9","42","3","52","67","35"
"10/28/2015","61","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","5","41","3","27","61","38"
"10/29/2015","40","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","5","40","3","33","29","25"
"10/30/2015","54","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","8","44","1","35","54","42"
"10/31/2015","51","Ozone","Sloughhouse","06-067-5003","AQS","8","51","3","31","47","19"
"11/01/2015","41","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","5","41","3","8","30","18"
"11/02/2015","35","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","3","34","3","6","35","29"
"11/03/2015","32","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","3","32","3","8","30","30"
"11/04/2015","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","3","37","3","9","27","30"
"11/05/2015","66","PM2.5","Bliss SP","06-017-9000","AQS","6","38","1","19","66","34"
"11/06/2015","57","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","8","38","1","20","57","37"
"11/07/2015","65","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","9","42","3","25","65","39"
"11/08/2015","60","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","10","43","3","15","60","24"
"11/09/2015","40","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","2","40","3","6","30","21"
"11/10/2015","38","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","10","38","3","9","38","25"
"11/11/2015","78","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","15","39","1","19","78","32"
"11/12/2015","81","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","10","36","3","28","81","29"
"11/13/2015","82","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","10","36","3","30","82","35"
"11/14/2015","95","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","13","44","4","34","95","34"
"11/15/2015","52","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","7","46","4","14","52","25"
"11/16/2015","40","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","3","40","3","6","20","26"
"11/17/2015","52","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","13","32","1","17","52","30"
"11/18/2015","65","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","14","35","3","21","65","29"
"11/19/2015","76","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","9","35","3","29","76","36"
"11/20/2015","82","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","15","35","4","26","82","34"
"11/21/2015","80","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","11","38","4","29","80","39"
"11/22/2015","86","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","13","39","4","30","86","31"
"11/23/2015","88","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","16","45","6","29","88","27"
"11/24/2015","44","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","5","44","6","11","33","28"
"11/25/2015","62","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","9","32","4","13","62","30"
"11/26/2015","54","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","13","32","4","15","54","23"
"11/27/2015","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","5","37","4","11","29","25"
"11/28/2015","65","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","15","38","3","17","65","34"
"11/29/2015","94","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","19","39","3","21","94","34"
"11/30/2015","79","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","16","41","3","22","79","31"
"12/01/2015","71","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","13","41","3","22","71","37"
"12/02/2015","82","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","14","34","4","35","82","35"
"12/03/2015","83","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","15","38","4","31","83","26"
"12/04/2015","57","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","13","37","3","24","57","33"
"12/05/2015","72","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","17","43","3","61","72","25"
"12/06/2015","67","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","9","43","4","20","67","25"
"12/07/2015","63","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","7","33","4","16","63","27"
"12/08/2015","64","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","7","29","4","17","64","25"
"12/09/2015","59","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","5","37","4","17","59","22"
"12/10/2015","69","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","3","37","6","24","69","17"
"12/11/2015","37","Ozone","Placerville-Gold Nugget Way","06-017-0010","AQS","6","37","7","7","30","32"
"12/12/2015","61","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","13","35","6","15","61","24"
"12/13/2015","42","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","3","37",".","10","42","27"
"12/14/2015","43","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","9","38","11","9","43","26"
"12/15/2015","33","Ozone","Colfax-City Hall","06-061-0004","AQS","3","33","9","10","23","26"
"12/16/2015","56","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","11","35","7","19","56","28"
"12/17/2015","71","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","14","31","9","20","71","31"
"12/18/2015","84","PM2.5","Davis-UCD Campus","06-113-0004","AQS","7","42","10","25","84","22"
"12/19/2015","61","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","5","36","10","13","61","22"
"12/20/2015","47","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","6","37","9","8","47","15"
"12/21/2015","44","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","5","32","10","7","44","8"
"12/22/2015","36","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","5","35","11","5","36","15"
"12/23/2015","48","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","9","35","11","10","48","30"
"12/24/2015","37","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","10","35","0","7","37","26"
"12/25/2015","43","PM2.5","Sacramento-1309 T Street","06-067-0010","AQS","7","35",".","6","43","23"
"12/26/2015","37","Ozone","Tahoe City-Fairway Drive","06-061-1004","AQS","7","37",".","11","35","25"
"12/27/2015","62","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","7","39",".","13","62","21"
"12/28/2015","50","PM2.5","Roseville-N Sunrise Ave","06-061-0006","AQS","8","38",".","14","50","31"
"12/29/2015","70","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","8","37",".","15","70","26"
"12/30/2015","64","PM2.5","Davis-UCD Campus","06-113-0004","AQS","8","39",".","15","64","25"
"12/31/2015","90","PM2.5","Sacramento-Del Paso Manor","06-067-0006","AQS","11","38","1","21","90","32"
